id, Time, Type, Notes
149,16:39:05 05-16-2014,Pee and Poo,
148,14:45:17 05-16-2014,Pee and Poo,
147,12:31:31 05-16-2014,Pee and Poo,
146,10:42:20 05-16-2014,Pee and Poo,
145,08:58:56 05-16-2014,Pee and Poo,
144,05:48:35 05-16-2014,Pee and Poo,
143,17:15:03 05-15-2014,Pee and Poo,
142,15:01:57 05-15-2014,Pee and Poo,
140,12:22:36 05-15-2014,Pee and Poo,
139,10:08:49 05-15-2014,Pee and Poo,
138,07:55:48 05-15-2014,Pee and Poo,
137,20:35:03 05-14-2014,Pee and Poo,
136,16:26:25 05-14-2014,Pee and Poo,
135,14:29:49 05-14-2014,Pee and Poo,
133,13:03:19 05-14-2014,Pee and Poo,
132,10:47:17 05-14-2014,Pee and Poo,
130,05:12:06 05-14-2014,Pee and Poo,
131,01:43:30 05-14-2014,Pee and Poo,
129,18:57:58 05-13-2014,Pee and Poo,
128,16:57:30 05-13-2014,Pee and Poo,Big and some green
127,13:21:09 05-13-2014,Pee and Poo,Big
126,07:44:47 05-13-2014,Pee and Poo,
125,19:34:39 05-12-2014,Pee and Poo,
124,17:01:47 05-12-2014,Pee and Poo,Big
123,16:27:30 05-12-2014,Pee and Poo,Ptetty big
122,15:08:05 05-12-2014,Pee and Poo,
120,11:26:29 05-12-2014,Pee and Poo,
118,09:42:01 05-12-2014,Pee and Poo,
117,08:31:34 05-12-2014,Pee and Poo,Big
116,06:31:33 05-12-2014,Pee and Poo,
115,20:44:52 05-11-2014,Pee and Poo,
114,19:44:47 05-11-2014,Pee and Poo,
113,17:44:28 05-11-2014,Pee and Poo,
112,13:22:46 05-09-2014,Poo,
111,10:19:36 05-09-2014,Poo,
110,09:21:48 05-09-2014,Poo,
109,07:41:45 05-09-2014,Poo,
108,02:04:48 05-09-2014,Pee and Poo,
107,13:35:30 05-08-2014,Poo,
106,08:36:43 05-08-2014,Poo,
105,05:53:42 05-08-2014,Poo,
104,02:19:28 05-08-2014,Pee and Poo,Very small by green
103,21:46:21 05-07-2014,Poo,
102,20:08:57 05-07-2014,Poo,
101,17:25:55 05-07-2014,Poo,
100,14:17:20 05-07-2014,Poo,
99,12:42:28 05-07-2014,Poo,A tiny bit green
98,09:58:27 05-07-2014,Poo,
97,07:55:05 05-07-2014,Poo,
96,06:13:43 05-07-2014,Poo,
95,05:01:38 05-07-2014,Poo,Tiny
94,01:59:44 05-07-2014,Poo,
93,20:30:34 05-06-2014,Poo,A little green
92,18:43:34 05-06-2014,Poo,
91,17:32:29 05-06-2014,Poo,
90,15:36:09 05-06-2014,Poo,
89,14:25:28 05-06-2014,Poo,
88,12:54:47 05-06-2014,Poo,
87,11:27:36 05-06-2014,Poo,
86,09:08:49 05-06-2014,Poo,
85,07:31:36 05-06-2014,Poo,
84,05:31:25 05-06-2014,Poo,
83,22:31:00 05-05-2014,Poo,
82,20:48:42 05-05-2014,Poo,Slight green
81,13:50:38 05-05-2014,Poo,
80,12:40:37 05-05-2014,Poo,
79,10:43:52 05-05-2014,Poo,
76,21:14:46 04-21-2014,Pee and Poo,
75,21:14:35 04-21-2014,Poo,
74,07:04:26 04-21-2014,Poo,
72,07:04:25 04-21-2014,Pee and Poo,
71,09:57:26 04-17-2014,Pee and Poo,
70,00:27:14 04-17-2014,Pee and Poo,
69,13:47:33 04-16-2014,Poo,
68,13:47:27 04-16-2014,Pee and Poo,
66,05:24:41 04-16-2014,Poo,
65,04:58:53 04-16-2014,Pee and Poo,
64,00:06:43 04-16-2014,Pee and Poo,
63,22:02:09 04-15-2014,Pee,
62,16:56:09 04-15-2014,Poo,
61,16:56:08 04-15-2014,Pee and Poo,
60,12:11:57 04-15-2014,Pee and Poo,
59,10:04:57 04-15-2014,Pee and Poo,
58,08:44:53 04-15-2014,Poo,
57,08:44:52 04-15-2014,Pee and Poo,
56,05:55:14 04-15-2014,Poo,
55,05:52:27 04-15-2014,Pee and Poo,
54,23:58:55 04-14-2014,Pee and Poo,
53,19:51:01 04-14-2014,Pee and Poo,
52,18:07:34 04-14-2014,Pee and Poo,
49,15:29:34 04-14-2014,Poo,
48,15:29:34 04-14-2014,Pee,
47,04:27:03 04-14-2014,Poo,
46,01:39:19 04-14-2014,Pee,
45,20:33:34 04-13-2014,Pee and Poo,
44,19:58:59 04-13-2014,Pee,
43,13:21:33 04-13-2014,Pee and Poo,
42,13:10:05 04-13-2014,Pee and Poo,
41,12:23:10 04-13-2014,Poo,
40,07:21:42 04-13-2014,Pee and Poo,
39,04:27:51 04-13-2014,Pee and Poo,
38,01:10:48 04-13-2014,Pee and Poo,
37,19:27:47 04-12-2014,Pee,
36,19:27:34 04-12-2014,Poo,
35,18:55:22 04-12-2014,Pee and Poo,
34,14:04:29 04-12-2014,Pee,
33,02:30:01 04-12-2014,Pee and Poo,
32,22:34:40 04-11-2014,Poo,
31,18:00:21 04-11-2014,Pee and Poo,
30,15:47:46 04-11-2014,Poo,
29,15:06:25 04-11-2014,Poo,
27,11:06:33 04-11-2014,Pee and Poo,
26,08:00:39 04-11-2014,Pee and Poo,
25,06:43:09 04-11-2014,Poo,
24,04:09:03 04-11-2014,Pee and Poo,
23,00:32:33 04-11-2014,Poo,
22,21:06:58 04-10-2014,Poo,
21,20:44:54 04-10-2014,Pee,
20,17:11:55 04-10-2014,Pee and Poo,
19,17:02:06 04-10-2014,Poo,
18,16:44:59 04-10-2014,Poo,
17,16:24:04 04-10-2014,Poo,
16,16:24:00 04-10-2014,Pee and Poo,
15,13:23:07 04-10-2014,Poo,
14,13:23:06 04-10-2014,Pee,
13,10:53:48 04-10-2014,Poo,
12,10:46:54 04-10-2014,Pee and Poo,
11,08:48:29 04-10-2014,Pee,
10,06:11:44 04-10-2014,Pee,Small blood mucus
9,03:11:08 04-10-2014,Poo,
7,02:53:25 04-10-2014,Pee,
6,22:37:11 04-09-2014,Poo,
5,21:11:16 04-09-2014,Pee,
4,16:35:42 04-09-2014,Pee,
2,16:20:16 04-09-2014,Pee,
1,16:20:14 04-09-2014,Poo,
